ASH1L	ZBTB37	0.796005485596291
NFAT5	INO80D	0.7913112321424346
TCF12	RFX7	0.7760616091196606
CREB1	ASXL2	0.7591741169110009
REST	MGA	0.7591028098235721
CREB1	TRIP12	0.7574609739140026
LCOR	ARID2	0.7538735532196403
REST	LCOR	0.7475790643337343
LCOR	REST	0.7475790643337343
ATRX	RLIM	0.7468389901142671
GTF2A1	TRIP11	0.7432700936730625
LCOR	MGA	0.7407083459002378
NR2C2	KMT2A	0.7399986871637639
ASH1L	ZBED6	0.7398336414744087
ASH1L	ZBTB41	0.7372158938342046
LCOR	ZBTB37	0.7336097275695622
NR2C2	ASXL2	0.7331758580906674
LCOR	ZNF484	0.7295188899214524
SP1	SMAD5	0.7293290205812699
ZNF148	BBX	0.7276247513814631
ASH1L	ATF6	0.7259695682421374
LCOR	BAZ2B	0.7251387826238117
LCOR	INO80D	0.7230920286034321
SP1	CCNT1	0.7221477070371237
NFAT5	PHC3	0.7215478788980936
ZNF148	CREB1	0.72027589941832
CREB1	ZNF148	0.72027589941832
SP1	RFX7	0.7191859460283657
LCOR	CCNT1	0.7185957868208561
ASH1L	KMT2E	0.7181836954111072
ZNF148	PBRM1	0.7173735700271137
NFAT5	FER	0.716554131367046
NFAT5	KMT2E	0.7162182122805687
CREB1	RIF1	0.7159522414065365
NFAT5	MGA	0.714106153829469
SP3	CCNT2	0.7140367375259118
FOXA1	GATA3	0.7131603109320795
NFAT5	CHD2	0.7124384065582339
ATRX	TAF1	0.7115259112973262
TAF1	ATRX	0.7115259112973262
ATRX	PBRM1	0.7085704520909797
ZNF148	ASXL2	0.7078113994721252
ZNF148	ZBTB11	0.7069104050660515
ATRX	BRWD3	0.7066068324905933
SP1	BAZ2A	0.7063018840855096
REST	ZNF805	0.7056637524817588
ASH1L	ZNF678	0.7047337371084165
NFAT5	BAZ2B	0.7045364377072112
NFAT5	KMT2A	0.7041486673541688
ASH1L	POGZ	0.7032426658779324
REST	ZNF264	0.7012366347052905
SP3	BMPR2	0.7008146473883745
SP3	EPC2	0.7004107224088091
NFAT5	ASXL2	0.7001825368264136
REL	ASH1L	0.6999670931354808
ASH1L	REL	0.6999670931354807
ATRX	ATF2	0.6996913374762358
REST	RIF1	0.6996596255516122
ZNF148	ZBTB38	0.699495023221285
REST	ZNF484	0.6992467074602082
REST	PHIP	0.6992114109433784
ZNF148	MSL2	0.6981578502450432
NR2C2	RIF1	0.6975981082747615
NFAT5	TET2	0.6973650681276415
ZNF148	TRIP12	0.6972962419522106
REST	RLIM	0.6966379475750853
ZNF148	ATRX	0.6964817389332036
ATRX	ZNF148	0.6964817389332035
ASH1L	OTUD7B	0.6959298514340918
ATRX	SMAD5	0.6947195114295254
ASH1L	ARID4B	0.6946434103044686
NFAT5	PPP1R12A	0.6943792836068738
NR2C2	PBRM1	0.6938957834714575
ZNF148	RIF1	0.691327857656579
CREB1	BMPR2	0.6899944732667161
NR2C2	MGA	0.6899735416551542
SP1	ARID2	0.6897955321184611
ASH1L	GON4L	0.6897432976428166
LCOR	PBRM1	0.688569867703454
REST	CCNT1	0.688170253054821
SP1	CREBRF	0.6881388606266816
ZNF148	ASH1L	0.6879010214489697
ASH1L	ZNF148	0.6879010214489696
TCF12	TEAD1	0.6873559515800111
SP1	KDM3B	0.6866652868205341
ASH1L	MDM4	0.6866506043557582
CREB1	BCLAF1	0.6865343143205156
FOXA1	XBP1	0.6859007974157268
ZNF148	RLIM	0.6849248301454305
LCOR	PHIP	0.6847948746620454
ASH1L	INO80D	0.6846467570355095
REL	KMT2E	0.6840221100434445
ASH1L	NR2C2	0.6839033863944737
NR2C2	ASH1L	0.6839033863944737
LCOR	ATRX	0.6836367438584499
ATRX	LCOR	0.6836367438584499
SP3	RIF1	0.683423078625032
BDP1	ARID2	0.6830377368280702
