,0
0,C1QTNF7
1,RNF182
2,MS4A14
3,PCP4L1
4,EID3
5,CETP
6,NHSL2
7,ENTPD8
8,CSMD2
9,CDH17
10,MEGF10
11,CACNA1A
12,SERPINA6
13,KCNK13
14,P2RY14
15,ZIC2
16,SLC26A4
17,CDKL3
18,GAP43
19,ARL10
20,ANKRD34A
21,RGS18
22,CYP2D6
23,MYLK4
24,PLA2G2D
25,ZNF208
26,ZNF488
27,SCUBE1
28,ZGLP1
29,C1orf192
30,ADAM23
31,ESYT3
32,CALML5
33,TTC25
34,PCDHGA6
35,HPGDS
36,PCDHA10
37,NMU
38,LGALS9C
39,TCN1
40,UPK3B
41,SLC39A5
42,ZNF491
43,STMN2
44,HCN2
45,INA
46,CXCL3
47,AK5
48,GABBR2
49,VGF
50,RBMS3
51,WDR17
52,HAP1
53,ACSM5
54,NIPAL4
55,C1orf186
56,APOB
57,RGS9
58,LRRC10B
59,PCSK2
60,KIAA2022
61,COX4I2
62,KCNN2
63,NIPSNAP3B
64,NUDT10
65,SERPINB3
66,GLI1
67,MTCP1
68,GAPT
69,PCDHGA2
70,SLC25A34
71,CD274
72,CCDC150
73,ZBP1
74,KCNK2
75,SLC6A20
76,SHISA9
77,DMRTA1
78,DUOXA2
79,STAC2
80,GPR85
81,HS3ST3A1
82,WNT2B
83,CCL8
84,BCL2L15
85,MEOX2
86,GPR3
87,ASTN1
88,UNC13A
89,LRRC70
90,CXorf21
91,FAT3
92,RASGRP4
93,MSMP
94,ZNF233
95,TBX18
96,JAKMIP2
97,MRO
98,ADAMTS8
99,DNAH7
100,GREM2
101,RASSF9
102,TMEM169
103,CYP4F12
104,PDCD1
105,SLC6A17
106,DAPL1
107,PCSK1
108,SPRR1B
109,ARTN
110,ABCA13
111,AMBP
112,KDM4D
113,BATF3
114,SLC15A1
115,FAM189A1
116,LGI3
117,APOA1
118,LRAT
