,0
0,HSPB8
1,B3GNT2
2,GABPA
3,EVPL
4,SYNM
5,DNAJC2
6,MON1B
7,NDUFB3
8,PJA1
9,SDHAF2
10,TEAD3
11,P4HTM
12,PIGU
13,SIK2
14,PAFAH1B3
15,IGJ
16,MRPS12
17,SAV1
18,SLC10A3
19,TSSC4
20,IRF2BP1
21,ARHGEF3
22,DERA
23,RIT1
24,KIAA0355
25,RCC1
26,PLAGL2
27,STRBP
28,MED8
29,DYNLT3
30,BCAS2
31,C1orf122
32,PDCD10
33,TSFM
34,VHL
35,FAM193B
36,PHYH
37,GNE
38,GPRC5B
39,ALDH5A1
40,SH3BGRL2
41,PSAT1
42,ECM1
43,KLC4
44,PPID
45,USP38
46,MRPL47
47,LSM2
48,MRPL52
49,FOXRED2
50,ASMTL
51,MRPL13
52,B3GNT1
53,CCNB1
54,FAHD1
55,NOL10
56,FTSJ2
57,ARID2
58,RBM19
59,DRG2
60,DNAJC4
61,PHF6
62,PIGK
63,GPATCH4
64,NCAPD3
65,RHOBTB2
66,TSPYL4
67,PLEKHA5
68,KIFC3
69,AIG1
70,PPIC
71,SAMHD1
72,BRIX1
73,PTPN13
74,PRC1
75,PAQR4
76,ERGIC2
77,PPIL1
78,OFD1
79,TMEM19
80,DCAF16
81,ANO1
82,AKAP8
83,CUL2
84,LPIN1
85,ZNF622
86,C11orf57
87,CBX4
88,AEBP2
89,TMED1
90,PPIP5K2
91,RFTN1
92,MRPL41
93,SKAP2
94,SSBP4
95,SLC39A11
96,COBLL1
97,ATHL1
98,C19orf24
99,HPRT1
100,CDH11
101,CWC15
