,0
0,CLN6
1,TARSL2
2,TXLNG
3,FBXO22
4,ORAI3
5,ZDHHC16
6,LSM10
7,IFI30
8,VPS33A
9,FAM171A1
10,ARMCX1
11,TFAM
12,MVB12A
13,CAMTA1
14,SMIM19
15,PIGK
16,ST7
17,EPHX2
18,TRAF3IP2
19,TAF9B
20,APOPT1
21,TTI1
22,PLCXD1
23,UTP20
24,SNX8
25,FBXO30
26,MIEN1
27,MCM5
28,ALG2
29,AOX1
30,GTF2H5
31,ZSCAN29
32,MTF1
33,RPUSD3
34,RUVBL1
35,OSGIN2
36,DCUN1D3
37,RAB30
38,TNFSF10
39,TTLL4
40,ACTG2
41,ADHFE1
42,C7orf43
43,TFIP11
44,SLC1A3
45,SNRNP40
46,RRP8
47,ZNF562
48,JAZF1
49,CBR4
50,RASSF5
51,HLA-DMA
52,MRPL40
53,PDE4B
54,MAP2K5
55,CSF1R
56,CCDC91
57,ZNHIT6
58,HPS5
59,ZBTB22
60,SNX11
61,LIG3
62,DDB2
63,NRDE2
64,FGD4
65,LARP1B
66,HK2
67,MICA
68,C1GALT1
69,PARP12
70,HIBCH
71,SLC26A11
72,TET3
73,MRPL30
74,MTO1
75,ME1
76,RAD17
77,AGBL5
78,C22orf46
79,MRPL11
80,USP13
81,GALNS
82,ALMS1
83,ACSF2
84,KLF11
85,NSUN5
86,GTF2F2
87,DPY19L1
88,STK17A
89,NOL9
90,PARP8
91,ZNF529
92,COL4A5
93,C19orf25
94,CISD3
95,COL14A1
96,RAB27A
97,AIFM2
98,ATP5S
99,TM2D1
100,PARP3
101,PPP3CC
102,DZIP3
103,DNAJC2
104,STK16
105,ATP5I
106,SDE2
107,ITFG2
108,PLEKHM3
109,DPH3
110,EXOSC2
111,SFRP1
112,TMEM192
113,KCTD13
114,UPP1
115,STRADB
116,BOK
117,LRP11
118,CNTNAP1
119,MFSD5
120,FAM35A
121,NHSL2
122,SUMF1
123,RAB29
124,GEMIN5
125,VSTM4
126,CRYZ
127,MANSC1
128,NOL12
129,TST
130,CDYL
131,RUNX1
132,TMEM11
133,RANBP6
134,GPKOW
135,PDGFA
136,TOP3A
137,ALPK1
138,APTX
139,PTGR1
140,WIPI1
141,NEIL1
142,FAM76B
143,ABHD10
144,CEP120
145,FAM136A
146,DCUN1D2
147,ENPP4
148,SLIRP
149,IQCB1
150,SVIP
151,PCGF2
152,SNRPA1
153,DNAJC1
154,HMOX1
155,FAM46A
156,IGHMBP2
157,TBC1D14
158,NMRAL1
159,ANKRD50
160,LIMCH1
161,MTG1
162,TCEA3
163,ANKRD13C
164,PIGC
165,SLC22A23
166,CCDC127
167,TCN2
168,FAM172A
169,NPR2
170,NIPA1
171,FBXL4
172,SETD4
173,C1QB
174,LCAT
175,PPP1R14A
176,TPPP
177,FXYD6
178,ZNRF1
179,SYTL2
180,SRPX
181,C6orf1
182,ARMC6
183,AP5B1
184,MAP3K13
185,CAMKK1
186,CEP89
187,TBCE
188,ZNF133
189,CUTC
190,EIF2B3
191,GNB5
192,GOLPH3L
193,INTS4
194,FIG4
195,PHC1
196,NR1H3
197,GID4
198,CPSF3
199,CRY1
200,NDUFA7
201,OARD1
202,TFPI
203,EMG1
204,CACTIN
205,ZNF561
206,NTN4
207,POP4
208,NANS
209,ME3
210,THUMPD3
211,EVI5
212,CLDN12
213,RCHY1
214,SLC26A6
215,TAF4
216,ZBTB5
217,ZFP62
218,SH3RF1
219,DNTTIP1
220,RHBDD1
221,DOCK11
222,NSUN4
223,LMAN2L
224,FAH
225,TMEM101
226,ZNF410
227,FBXL15
228,NEK6
229,NFU1
230,RNF26
231,ERICH1
232,ORAI2
233,KIAA0753
234,SC5D
235,TDRD7
236,TBCEL
237,TYSND1
238,MRPL17
239,NOB1
240,HLF
241,NAA16
242,ZNF189
243,RCBTB2
244,PFAS
245,OTUD3
246,DHRS1
247,GTDC1
248,FOXRED1
249,NOM1
250,WDR3
251,WWC2
252,DPH2
253,EPDR1
254,CCDC174
255,AP1G2
256,ATAD3A
257,MCM6
258,WBP4
259,PRRT2
260,RABL3
261,SLC17A5
262,SLC2A8
263,COMMD2
264,SMIM15
265,NFATC1
266,SGCE
267,PDZRN3
268,RPAP2
269,TRIP4
270,TYW3
271,CMTM4
272,PPP1R13L
273,SLC45A4
274,NPRL2
275,S1PR3
276,ZNF700
277,CDKN2AIP
278,HID1
279,PAPD5
280,MTERF2
281,TRIM11
282,RUNDC1
283,RABEP2
284,TTC21B
285,ZNF32
286,TUBA1C
287,FKRP
288,EXOSC9
289,C8orf82
290,TRIM47
291,SCNM1
292,COQ5
293,WDR70
294,MAPK11
295,CNNM3
296,GNB4
297,NUP155
298,ORC3
299,POLK
300,OSBPL11
301,COX17
302,TSEN54
303,MAN1C1
304,FRMD4B
305,AP1S1
306,DUSP5
307,CASP4
308,MESDC1
309,MAD1L1
310,PKNOX1
311,GMPPB
312,ST3GAL3
313,TOPORS
314,TMEM18
315,TOR1B
316,CINP
317,DTD1
318,SLC36A1
319,GPALPP1
320,TICAM1
321,GNG10
322,SERTAD3
323,CEPT1
324,APH1B
325,MED21
326,DOPEY2
327,RNF144B
328,TGFB3
329,OSBPL7
330,TBC1D24
331,CCDC22
332,CAPN5
333,CWF19L1
334,TRIM35
335,FKTN
336,LSM8
337,TBC1D22B
338,SPON1
339,TTLL5
340,GRASP
341,RNF25
342,SNTB1
343,PFDN6
344,FGFR1OP
345,CASP3
346,CEP290
347,UBTD2
348,DHX35
349,GNG7
350,GTF2IRD1
351,MGST2
352,F13A1
353,YIPF2
354,NUDCD2
355,DNASE1
356,ROBO1
357,PDZD4
358,MED10
359,CXorf38
360,TMEM150A
361,CYP1B1
362,CXCL14
363,SLC25A32
364,RPE
365,PGM2
366,THAP7
367,HMG20A
368,PLK3
369,HMGXB4
370,PDK1
371,RAD1
372,PELI2
373,PLD1
374,DDX52
375,GTF2B
376,EDEM2
377,SERGEF
378,HAUS5
379,RPF2
380,YJEFN3
381,ZNF7
382,CENPC
383,SHISA4
384,UTP3
385,MTF2
386,SREK1IP1
387,PLCE1
388,PRKAR2B
389,CCDC28A
390,SPATS2
391,COG8
392,MYH14
393,ANGPTL4
394,PTPN4
395,KAZN
396,TTC39B
397,SNAPC2
398,SLC30A6
399,LARP6
400,KATNAL1
401,SLC39A10
402,NLRP11
403,ZNF213
404,RNF170
405,ZNHIT3
406,MRPS9
407,LPIN3
408,TTPAL
409,DXO
410,ACD
411,CDKL5
412,ACOT7
413,PHF6
414,ZNF605
415,PIK3CD
416,HDHD3
417,AGPAT4
418,ZBTB21
419,MCM4
420,PRDM11
421,BOC
422,B4GALT7
423,ACBD4
424,DNAJC19
425,PWWP2B
426,TBX2
427,JOSD2
428,C18orf8
429,ATP11C
430,NEU3
431,TMEM70
432,LGALSL
433,EVA1C
434,FUCA1
435,CBX4
436,CNNM4
437,PAPLN
438,CAMK1
439,GCDH
440,SCN1B
441,KIF16B
442,KLF12
443,RBM7
444,NR4A2
445,CXCL16
446,A4GALT
447,CACNB1
448,ERMARD
449,EARS2
450,LMBRD2
451,NEIL2
452,MYL6B
453,KLF15
454,CSTF1
455,ARL14EP
456,NCALD
457,INTS5
458,UEVLD
459,ITGB2
460,RAB9A
461,ACTL6A
462,ZFYVE19
463,DPY30
464,JMJD8
465,IFT46
466,ENTPD5
467,RIC8B
468,CASP9
469,SCD5
470,FAM114A2
471,HSPA13
472,RAP2B
473,RBAK
474,SOX4
475,NRF1
476,SLC25A16
477,TMEM64
478,FAM49A
479,HIRIP3
480,UNC93B1
481,TRPT1
482,ALDH1B1
483,SLCO4A1
484,C16orf70
